Predator_overlap,Halibut: Arrowtooth_L,Halibut: Pacific_cod,Halibut: Octopods,Pinnipeds: Porpoise,Lingcod: Arrowtooth_S,Lingcod: Deep_demersals,Lingcod: Rockfish,Arrowtooth_L: Pacific_cod,Arrowtooth_L: Octopods,Pacific_cod: Sablefish,Pacific_cod: Pollock_L,Pacific_cod: Rockfish,Pacific_cod: Nshore_demersal,Sablefish: Spiny_dogfish,Sablefish: Rockfish,Arrowtooth_S: Deep_demersals,Arrowtooth_S: Pollock_L,Arrowtooth_S: Rockfish,Arrowtooth_S: Nshore_demersal,Spiny_dogfish: Rockfish,Octopods: Deep_demersals,Octopods: Pollock_L,Octopods: Nshore_demersal,Seabirds: Oystercatchers,Deep_demersals: Pollock_L,Deep_demersals: Rockfish,Deep_demersals: Nshore_demersal,Pollock_L: Salmon_fry_S,Pollock_L: Eulachon,Pollock_L: Capelin,Pollock_L: Herring_L,Pollock_L: Pollock_S,Pollock_L: Herring_S,Rockfish: Nshore_demersal,Rockfish: Herring_L,Salmon_fry_S: Nshore_demersal,Salmon_fry_S: Eulachon,Salmon_fry_S: Capelin,Salmon_fry_S: Herring_L,Salmon_fry_S: Sandlance,Salmon_fry_S: Pisaster_Evasterias,Salmon_fry_S: Leather_stars,Salmon_fry_S: Herring_S,Salmon_fry_S: Zoopl_near_onmiv,Nshore_demersal: Herring_L,Nshore_demersal: Sandlance,Nshore_demersal: Sunflower_stars,Nshore_demersal: Pisaster_Evasterias,Nshore_demersal: Leather_stars,Nshore_demersal: Helmet_crab,Squids: Deep_infauna_S,Eulachon: Capelin,Eulachon: Herring_L,Eulachon: Pollock_S,Eulachon: Sandlance,Eulachon: Jellies,Sea_otters: Invert_eat_seaduck,Deep_epibenthos: Deep_infauna_S,Deep_epibenthos: Meiofauna,Deep_epibenthos: Deep_infauna_L,Capelin: Herring_L,Capelin: Pollock_S,Capelin: Sandlance,Capelin: Herring_S,Capelin: Jellies,Capelin: Zoopl_near_onmiv,Capelin: Zoop_omniv,Herring_L: Pollock_S,Herring_L: Sandlance,Herring_L: Herring_S,Herring_L: Zoopl_near_onmiv,Pollock_S: Herring_S,Sandlance: Herring_S,Sandlance: Jellies,Sandlance: Zoopl_near_onmiv,Sandlance: Zoop_omniv,Sunflower_stars: Pisaster_Evasterias,Sunflower_stars: Leather_stars,Pisaster_Evasterias: Leather_stars,Pisaster_Evasterias: Helmet_crab,Leather_stars: Helmet_crab,Cucumbers: Snail_crust_S,Cucumbers: Mussels,Cucumbers: Barnacles,Urchins: Helmet_crab,Urchins: Mussels,Urchins: Shallow_infauna_clams,Helmet_crab: Snail_crust_S,Helmet_crab: Shallow_infauna_clams,Herring_S: Jellies,Herring_S: Zoopl_near_onmiv,Herring_S: Zoop_omniv,Jellies: Zoopl_near_onmiv,Deep_infauna_S: Meiofauna,Deep_infauna_S: Deep_infauna_L,Zoopl_near_onmiv: Zoop_omniv,Zoopl_near_onmiv: Snail_crust_S,Zoop_omniv: Zoopl_herb,Meiofauna: Deep_infauna_L,Snail_crust_S: Mussels,Snail_crust_S: Barnacles,Snail_crust_S: Zoopl_near_herb,Mussels: Barnacles,Mussels: Shallow_infauna_clams,Mussels: Zoopl_near_herb,Barnacles: Zoopl_near_herb
0.102379508,,,,,,,,,,,,,,,,,0.840896904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.102438524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116765745,,,,,,,,,
0.10458903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312278926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.104918145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.321734607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.10947904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329492092,,,,,,,,,,,,,,
0.128040656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269132704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.130135685,,,,,,,,,,,,,,,,,,,,,0.695284665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.136916637,,,,,,,,,,,0.556004882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13695389,,,,,,,,,,,,,0.341511995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.144076169,,,,,,,,,,,,0.549961388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.148456648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159793466,,,,,,,,,,,,,,,,,,,,
0.149810314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.996535301,,
0.151320979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273109019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.156066224,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.518823922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.170063511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109247699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.17530261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312748551,,,,,,,,,,,,,
0.183859691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234769717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.185016707,,,,,,,,,0.137835756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.18649143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.434013575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.187551036,,,0.264255524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.194590747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.755732179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.195366323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495151788
0.197866768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.482670516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.203776821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.918802261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.215877458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.958848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.218730301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.957140207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.225646511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.858192325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.236469328,,,,,,,,0.286793441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.243216351,,0.507086694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.245478675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259699881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.245847151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.916746557,,,,,,,,,,,,,,,,,,
0.252990603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.86826396,,,,,
0.253017515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953833103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.258509696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282232821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.261868656,,,,,,,,,,,,,,,,,,,,,,,,,0.356165141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.268504798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.448369294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.288822532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941690147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.297329873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.310642868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.308238924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20750989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.314989537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118101329,
0.316174239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318457842,,,,,,,,,,,,,,,
0.317968965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113991335,,,,
